yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
1999,2,Export,752,Sweden,894,Zambia,87,"Vehicles other than railway, tramway",49470
2008,1,Import,858,Uruguay,490,"Other Asia, nes",54,Man-made filaments; strip and the like of man-made textile materials,1216723
2004,1,Import,724,Spain,51,Armenia,22,"Beverages, spirits and vinegar",42738
2015,1,Import,804,Ukraine,724,Spain,45,Cork and articles of cork,400692
2019,1,Import,504,Morocco,384,Côte d'Ivoire,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2519
2014,2,Export,826,United Kingdom,178,Congo,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",9056
1998,1,Import,300,Greece,804,Ukraine,89,"Ships, boats and other floating structures",478242
1999,2,Export,764,Thailand,268,Georgia,19,"Cereal, flour, starch, milk preparations and products",4798
2009,2,Export,458,Malaysia,32,Argentina,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,15565580
2009,2,Export,360,Indonesia,446,"China, Macao SAR",90,"Optical, photo, technical, medical, etc apparatus",455748
2019,2,Export,428,Latvia,233,Estonia,78,Lead and articles thereof,218015
2005,2,Export,710,South Africa,504,Morocco,82,"Tools, implements, cutlery, spoons and forks, of base metal",22550
2016,1,Import,214,Dominican Rep.,276,Germany,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",65715652
1994,2,Export,76,Brazil,528,Netherlands,95,"Toys, games, sports requisites",106746
2011,1,Import,116,Cambodia,422,Lebanon,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1253
1990,1,Import,392,Japan,0,World,42,"Articles of leather, animal gut, harness, travel good",2288033371
2009,2,Export,233,Estonia,579,Norway,79,Zinc and articles thereof,99240
2019,1,Import,554,New Zealand,156,China,72,Iron and steel,29255403
2011,2,Export,703,Slovakia,360,Indonesia,40,Rubber and articles thereof,8614
1997,2,Export,360,Indonesia,764,Thailand,71,"Pearls, precious stones, metals, coins, etc",2609692
2019,1,Import,826,United Kingdom,233,Estonia,69,Ceramic products,137448
