yr,rgCode,rtCode,ptCode,cmdCode,TradeValue
2015,1,659,8,87,24471
2009,1,604,752,17,1709
2010,2,246,768,70,38
1998,2,392,70,82,75810
1999,1,300,288,70,1055
2011,1,40,608,67,1259036
2001,1,175,392,04,385
2010,2,620,764,31,32128
2013,2,348,352,87,4102788
1996,1,600,152,33,2488219
2010,1,388,300,94,302
2003,1,804,826,94,2573040
2003,1,792,642,91,178
2007,1,275,724,85,117780
2011,1,24,724,55,3520
2004,2,586,480,03,139780
2006,2,372,634,44,1
2002,2,458,440,84,380306
2015,1,710,92,95,19
2013,1,52,862,65,19
1992,1,96,702,26,610264
1989,2,620,278,49,2384430
1994,1,512,752,31,3245
2000,2,414,48,15,209874
2015,2,608,458,20,4209804
2017,2,470,100,85,22767
2003,2,490,480,09,3500
2007,1,752,703,55,36801
2012,2,975,152,79,184
2001,1,203,208,45,85132
1993,1,360,344,40,1403617
2007,1,12,124,04,854316
2000,1,376,276,76,32019000
2004,2,40,807,01,31856
2018,2,634,842,87,2962682
2016,1,480,36,69,8965
2010,2,490,604,64,41763
2004,1,757,348,31,546940
2010,1,410,842,47,469905000
2015,1,458,682,91,11880
2005,1,242,36,05,57429
2003,2,699,554,23,460731
2000,2,144,826,23,62000
2002,1,764,48,73,436
2005,1,678,156,69,10257
2016,1,690,643,39,4293
2015,2,579,752,36,223913
2006,1,208,484,97,3809
2002,2,752,124,47,1598762
1991,2,392,40,81,715989
2004,2,76,300,27,11420
2004,2,554,381,38,7169
2018,2,670,534,07,12169
2018,1,566,826,13,4337202
1999,1,352,276,34,1453394
1990,2,702,480,82,187994
2011,1,440,222,61,165
2005,1,392,360,09,90530834
2009,1,68,826,84,10515044
2008,1,834,533,40,628
2007,1,116,408,83,1680
2005,1,372,381,33,18112211
2011,1,50,584,06,1047
2017,1,705,504,62,4568298
2007,1,508,344,38,22121
2000,2,251,328,83,12360
1996,2,428,804,18,341030
2012,1,84,757,39,2527
2017,2,784,120,24,231236
2014,2,490,296,82,4295
2008,2,528,214,21,1108132
1997,2,702,218,40,76286
2019,1,352,752,12,437773
2011,2,32,757,29,1537850
1997,1,348,826,11,54000
2014,2,104,458,10,5005874
2014,1,686,40,12,242037
2014,2,246,442,09,1592
1997,2,32,170,59,105649
2007,2,381,203,50,617687
2010,1,620,32,42,10788
2011,2,97,710,06,6472937
2012,1,204,504,69,24365
1994,1,792,392,85,146672089
2008,1,124,834,46,2683
2018,1,360,233,49,3428
2015,2,757,12,73,1800210
1999,1,466,899,87,2340886
2003,2,208,231,73,86782
2016,1,558,842,58,6698342
2009,2,156,887,20,38796026
2000,1,344,251,99,1755395
